2024-07-24 21:20:57.372 | INFO | train_model:116 | Creating dataloaders
2024-07-24 21:20:57.389 | INFO | train_model:141 | Splitting training data into a 80%-20% train/val split
2024-07-24 21:20:57.404 | INFO | train_model:253 | Starting training
2024-07-24 21:21:03.461 | INFO | trainer:189 | Epoch: 0 | Validation loss: 0.001
2024-07-24 21:21:19.424 | INFO | trainer:189 | Epoch: 0 | Validation loss: 0.00103
2024-07-24 21:21:19.429 | INFO | trainer:173 | Epoch: 0 | Training loss: 0.000907
2024-07-24 21:21:19.837 | INFO | trainer:189 | Epoch: 1 | Validation loss: 0.000965
2024-07-24 21:21:19.841 | INFO | trainer:173 | Epoch: 1 | Training loss: 0.00081
2024-07-24 21:21:20.224 | INFO | trainer:189 | Epoch: 2 | Validation loss: 0.000923
2024-07-24 21:21:20.228 | INFO | trainer:173 | Epoch: 2 | Training loss: 0.000768
2024-07-24 21:21:20.602 | INFO | trainer:189 | Epoch: 3 | Validation loss: 0.000893
2024-07-24 21:21:20.606 | INFO | trainer:173 | Epoch: 3 | Training loss: 0.000738
2024-07-24 21:21:20.988 | INFO | trainer:189 | Epoch: 4 | Validation loss: 0.000871
2024-07-24 21:21:20.992 | INFO | trainer:173 | Epoch: 4 | Training loss: 0.000717
2024-07-24 21:21:21.405 | INFO | trainer:189 | Epoch: 5 | Validation loss: 0.000853
2024-07-24 21:21:21.409 | INFO | trainer:173 | Epoch: 5 | Training loss: 0.0007
2024-07-24 21:21:21.809 | INFO | trainer:189 | Epoch: 6 | Validation loss: 0.000838
2024-07-24 21:21:21.815 | INFO | trainer:173 | Epoch: 6 | Training loss: 0.000686
2024-07-24 21:21:22.229 | INFO | trainer:189 | Epoch: 7 | Validation loss: 0.000825
2024-07-24 21:21:22.233 | INFO | trainer:173 | Epoch: 7 | Training loss: 0.000675
2024-07-24 21:21:22.653 | INFO | trainer:189 | Epoch: 8 | Validation loss: 0.000813
2024-07-24 21:21:22.658 | INFO | trainer:173 | Epoch: 8 | Training loss: 0.000665
2024-07-24 21:21:23.067 | INFO | trainer:189 | Epoch: 9 | Validation loss: 0.000803
2024-07-24 21:21:23.071 | INFO | trainer:173 | Epoch: 9 | Training loss: 0.000656
2024-07-24 21:21:23.510 | INFO | trainer:189 | Epoch: 10 | Validation loss: 0.000793
2024-07-24 21:21:23.514 | INFO | trainer:173 | Epoch: 10 | Training loss: 0.000647
2024-07-24 21:21:23.950 | INFO | trainer:189 | Epoch: 11 | Validation loss: 0.000784
2024-07-24 21:21:23.957 | INFO | trainer:173 | Epoch: 11 | Training loss: 0.00064
2024-07-24 21:21:24.363 | INFO | trainer:189 | Epoch: 12 | Validation loss: 0.000776
2024-07-24 21:21:24.367 | INFO | trainer:173 | Epoch: 12 | Training loss: 0.000632
2024-07-24 21:21:24.749 | INFO | trainer:189 | Epoch: 13 | Validation loss: 0.000768
2024-07-24 21:21:24.755 | INFO | trainer:173 | Epoch: 13 | Training loss: 0.000626
2024-07-24 21:21:25.143 | INFO | trainer:189 | Epoch: 14 | Validation loss: 0.00076
2024-07-24 21:21:25.147 | INFO | trainer:173 | Epoch: 14 | Training loss: 0.000619
2024-07-24 21:21:25.570 | INFO | trainer:189 | Epoch: 15 | Validation loss: 0.000751
2024-07-24 21:21:25.575 | INFO | trainer:173 | Epoch: 15 | Training loss: 0.000613
2024-07-24 21:21:25.965 | INFO | trainer:189 | Epoch: 16 | Validation loss: 0.000745
2024-07-24 21:21:25.969 | INFO | trainer:173 | Epoch: 16 | Training loss: 0.000606
2024-07-24 21:21:26.356 | INFO | trainer:189 | Epoch: 17 | Validation loss: 0.000738
2024-07-24 21:21:26.361 | INFO | trainer:173 | Epoch: 17 | Training loss: 0.0006
2024-07-24 21:21:26.733 | INFO | trainer:189 | Epoch: 18 | Validation loss: 0.000732
2024-07-24 21:21:26.737 | INFO | trainer:173 | Epoch: 18 | Training loss: 0.000594
2024-07-24 21:21:27.176 | INFO | trainer:189 | Epoch: 19 | Validation loss: 0.000724
2024-07-24 21:21:27.181 | INFO | trainer:173 | Epoch: 19 | Training loss: 0.000589
2024-07-24 21:21:27.558 | INFO | trainer:189 | Epoch: 20 | Validation loss: 0.000718
2024-07-24 21:21:27.562 | INFO | trainer:173 | Epoch: 20 | Training loss: 0.000583
2024-07-24 21:21:27.948 | INFO | trainer:189 | Epoch: 21 | Validation loss: 0.000711
2024-07-24 21:21:27.952 | INFO | trainer:173 | Epoch: 21 | Training loss: 0.000578
2024-07-24 21:21:28.316 | INFO | trainer:189 | Epoch: 22 | Validation loss: 0.000704
2024-07-24 21:21:28.320 | INFO | trainer:173 | Epoch: 22 | Training loss: 0.000572
2024-07-24 21:21:28.690 | INFO | trainer:189 | Epoch: 23 | Validation loss: 0.000699
2024-07-24 21:21:28.694 | INFO | trainer:173 | Epoch: 23 | Training loss: 0.000567
2024-07-24 21:21:29.056 | INFO | trainer:189 | Epoch: 24 | Validation loss: 0.000693
2024-07-24 21:21:29.061 | INFO | trainer:173 | Epoch: 24 | Training loss: 0.000562
2024-07-24 21:21:29.444 | INFO | trainer:189 | Epoch: 25 | Validation loss: 0.000688
2024-07-24 21:21:29.448 | INFO | trainer:173 | Epoch: 25 | Training loss: 0.000558
2024-07-24 21:21:29.816 | INFO | trainer:189 | Epoch: 26 | Validation loss: 0.000681
2024-07-24 21:21:29.820 | INFO | trainer:173 | Epoch: 26 | Training loss: 0.000553
2024-07-24 21:21:30.200 | INFO | trainer:189 | Epoch: 27 | Validation loss: 0.000677
2024-07-24 21:21:30.204 | INFO | trainer:173 | Epoch: 27 | Training loss: 0.000549
2024-07-24 21:21:30.584 | INFO | trainer:189 | Epoch: 28 | Validation loss: 0.000672
2024-07-24 21:21:30.588 | INFO | trainer:173 | Epoch: 28 | Training loss: 0.000544
2024-07-24 21:21:30.972 | INFO | trainer:189 | Epoch: 29 | Validation loss: 0.000667
2024-07-24 21:21:30.976 | INFO | trainer:173 | Epoch: 29 | Training loss: 0.00054
2024-07-24 21:21:31.368 | INFO | trainer:189 | Epoch: 30 | Validation loss: 0.000661
2024-07-24 21:21:31.372 | INFO | trainer:173 | Epoch: 30 | Training loss: 0.000536
2024-07-24 21:21:31.753 | INFO | trainer:189 | Epoch: 31 | Validation loss: 0.000657
2024-07-24 21:21:31.757 | INFO | trainer:173 | Epoch: 31 | Training loss: 0.000532
2024-07-24 21:21:32.148 | INFO | trainer:189 | Epoch: 32 | Validation loss: 0.000654
2024-07-24 21:21:32.152 | INFO | trainer:173 | Epoch: 32 | Training loss: 0.000529
2024-07-24 21:21:32.524 | INFO | trainer:189 | Epoch: 33 | Validation loss: 0.000648
2024-07-24 21:21:32.528 | INFO | trainer:173 | Epoch: 33 | Training loss: 0.000525
2024-07-24 21:21:32.893 | INFO | trainer:189 | Epoch: 34 | Validation loss: 0.000644
2024-07-24 21:21:32.897 | INFO | trainer:173 | Epoch: 34 | Training loss: 0.00052
2024-07-24 21:21:33.289 | INFO | trainer:189 | Epoch: 35 | Validation loss: 0.00064
2024-07-24 21:21:33.293 | INFO | trainer:173 | Epoch: 35 | Training loss: 0.000517
2024-07-24 21:21:33.685 | INFO | trainer:189 | Epoch: 36 | Validation loss: 0.000635
2024-07-24 21:21:33.689 | INFO | trainer:173 | Epoch: 36 | Training loss: 0.000513
2024-07-24 21:21:34.092 | INFO | trainer:189 | Epoch: 37 | Validation loss: 0.000631
2024-07-24 21:21:34.096 | INFO | trainer:173 | Epoch: 37 | Training loss: 0.00051
2024-07-24 21:21:34.504 | INFO | trainer:189 | Epoch: 38 | Validation loss: 0.000628
2024-07-24 21:21:34.508 | INFO | trainer:173 | Epoch: 38 | Training loss: 0.000507
2024-07-24 21:21:34.873 | INFO | trainer:189 | Epoch: 39 | Validation loss: 0.000625
2024-07-24 21:21:34.877 | INFO | trainer:173 | Epoch: 39 | Training loss: 0.000503
2024-07-24 21:21:35.250 | INFO | trainer:189 | Epoch: 40 | Validation loss: 0.000623
2024-07-24 21:21:35.254 | INFO | trainer:173 | Epoch: 40 | Training loss: 0.000501
2024-07-24 21:21:35.632 | INFO | trainer:189 | Epoch: 41 | Validation loss: 0.000619
2024-07-24 21:21:35.636 | INFO | trainer:173 | Epoch: 41 | Training loss: 0.000498
2024-07-24 21:21:36.016 | INFO | trainer:189 | Epoch: 42 | Validation loss: 0.000613
2024-07-24 21:21:36.020 | INFO | trainer:173 | Epoch: 42 | Training loss: 0.000494
2024-07-24 21:21:36.419 | INFO | trainer:189 | Epoch: 43 | Validation loss: 0.000611
2024-07-24 21:21:36.424 | INFO | trainer:173 | Epoch: 43 | Training loss: 0.000492
2024-07-24 21:21:36.825 | INFO | trainer:189 | Epoch: 44 | Validation loss: 0.000608
2024-07-24 21:21:36.829 | INFO | trainer:173 | Epoch: 44 | Training loss: 0.000489
2024-07-24 21:21:37.251 | INFO | trainer:189 | Epoch: 45 | Validation loss: 0.000604
2024-07-24 21:21:37.255 | INFO | trainer:173 | Epoch: 45 | Training loss: 0.000487
2024-07-24 21:21:37.624 | INFO | trainer:189 | Epoch: 46 | Validation loss: 0.000603
2024-07-24 21:21:37.628 | INFO | trainer:173 | Epoch: 46 | Training loss: 0.000483
2024-07-24 21:21:38.008 | INFO | trainer:189 | Epoch: 47 | Validation loss: 0.0006
2024-07-24 21:21:38.013 | INFO | trainer:173 | Epoch: 47 | Training loss: 0.000482
2024-07-24 21:21:38.397 | INFO | trainer:189 | Epoch: 48 | Validation loss: 0.000598
2024-07-24 21:21:38.401 | INFO | trainer:173 | Epoch: 48 | Training loss: 0.000479
2024-07-24 21:21:38.780 | INFO | trainer:189 | Epoch: 49 | Validation loss: 0.000593
2024-07-24 21:21:38.784 | INFO | trainer:173 | Epoch: 49 | Training loss: 0.000478
2024-07-24 21:21:39.177 | INFO | trainer:189 | Epoch: 50 | Validation loss: 0.000591
2024-07-24 21:21:39.181 | INFO | trainer:173 | Epoch: 50 | Training loss: 0.000475
2024-07-24 21:21:39.559 | INFO | trainer:189 | Epoch: 51 | Validation loss: 0.000588
2024-07-24 21:21:39.563 | INFO | trainer:173 | Epoch: 51 | Training loss: 0.000472
2024-07-24 21:21:39.932 | INFO | trainer:189 | Epoch: 52 | Validation loss: 0.000587
2024-07-24 21:21:39.936 | INFO | trainer:173 | Epoch: 52 | Training loss: 0.00047
2024-07-24 21:21:40.317 | INFO | trainer:189 | Epoch: 53 | Validation loss: 0.000584
2024-07-24 21:21:40.322 | INFO | trainer:173 | Epoch: 53 | Training loss: 0.000468
2024-07-24 21:21:40.714 | INFO | trainer:189 | Epoch: 54 | Validation loss: 0.000581
2024-07-24 21:21:40.718 | INFO | trainer:173 | Epoch: 54 | Training loss: 0.000467
2024-07-24 21:21:41.096 | INFO | trainer:189 | Epoch: 55 | Validation loss: 0.000579
2024-07-24 21:21:41.100 | INFO | trainer:173 | Epoch: 55 | Training loss: 0.000465
2024-07-24 21:21:41.466 | INFO | trainer:189 | Epoch: 56 | Validation loss: 0.000577
2024-07-24 21:21:41.471 | INFO | trainer:173 | Epoch: 56 | Training loss: 0.000462
2024-07-24 21:21:41.848 | INFO | trainer:189 | Epoch: 57 | Validation loss: 0.000576
2024-07-24 21:21:41.852 | INFO | trainer:173 | Epoch: 57 | Training loss: 0.000462
2024-07-24 21:21:42.240 | INFO | trainer:189 | Epoch: 58 | Validation loss: 0.000576
2024-07-24 21:21:42.244 | INFO | trainer:173 | Epoch: 58 | Training loss: 0.00046
2024-07-24 21:21:42.596 | INFO | trainer:189 | Epoch: 59 | Validation loss: 0.000572
2024-07-24 21:21:42.600 | INFO | trainer:173 | Epoch: 59 | Training loss: 0.000458
2024-07-24 21:21:42.968 | INFO | trainer:189 | Epoch: 60 | Validation loss: 0.000572
2024-07-24 21:21:42.972 | INFO | trainer:173 | Epoch: 60 | Training loss: 0.000456
2024-07-24 21:21:43.353 | INFO | trainer:189 | Epoch: 61 | Validation loss: 0.00057
2024-07-24 21:21:43.357 | INFO | trainer:173 | Epoch: 61 | Training loss: 0.000454
2024-07-24 21:21:43.724 | INFO | trainer:189 | Epoch: 62 | Validation loss: 0.000565
2024-07-24 21:21:43.728 | INFO | trainer:173 | Epoch: 62 | Training loss: 0.000453
2024-07-24 21:21:44.085 | INFO | trainer:189 | Epoch: 63 | Validation loss: 0.000565
2024-07-24 21:21:44.089 | INFO | trainer:173 | Epoch: 63 | Training loss: 0.000452
2024-07-24 21:21:44.436 | INFO | trainer:189 | Epoch: 64 | Validation loss: 0.000562
2024-07-24 21:21:44.440 | INFO | trainer:173 | Epoch: 64 | Training loss: 0.00045
2024-07-24 21:21:44.817 | INFO | trainer:189 | Epoch: 65 | Validation loss: 0.000561
2024-07-24 21:21:44.821 | INFO | trainer:173 | Epoch: 65 | Training loss: 0.000449
2024-07-24 21:21:45.224 | INFO | trainer:189 | Epoch: 66 | Validation loss: 0.000561
2024-07-24 21:21:45.228 | INFO | trainer:173 | Epoch: 66 | Training loss: 0.000447
2024-07-24 21:21:45.588 | INFO | trainer:189 | Epoch: 67 | Validation loss: 0.00056
2024-07-24 21:21:45.592 | INFO | trainer:173 | Epoch: 67 | Training loss: 0.000447
2024-07-24 21:21:45.956 | INFO | trainer:189 | Epoch: 68 | Validation loss: 0.00056
2024-07-24 21:21:45.961 | INFO | trainer:173 | Epoch: 68 | Training loss: 0.000445
2024-07-24 21:21:46.347 | INFO | trainer:189 | Epoch: 69 | Validation loss: 0.000556
2024-07-24 21:21:46.351 | INFO | trainer:173 | Epoch: 69 | Training loss: 0.000442
2024-07-24 21:21:46.735 | INFO | trainer:189 | Epoch: 70 | Validation loss: 0.000553
2024-07-24 21:21:46.742 | INFO | trainer:173 | Epoch: 70 | Training loss: 0.000441
2024-07-24 21:21:47.132 | INFO | trainer:189 | Epoch: 71 | Validation loss: 0.000555
2024-07-24 21:21:47.136 | INFO | trainer:173 | Epoch: 71 | Training loss: 0.000441
2024-07-24 21:21:47.500 | INFO | trainer:189 | Epoch: 72 | Validation loss: 0.000554
2024-07-24 21:21:47.504 | INFO | trainer:173 | Epoch: 72 | Training loss: 0.000439
2024-07-24 21:21:47.866 | INFO | trainer:189 | Epoch: 73 | Validation loss: 0.000552
2024-07-24 21:21:47.870 | INFO | trainer:173 | Epoch: 73 | Training loss: 0.000439
2024-07-24 21:21:48.257 | INFO | trainer:189 | Epoch: 74 | Validation loss: 0.000551
2024-07-24 21:21:48.260 | INFO | trainer:173 | Epoch: 74 | Training loss: 0.000439
2024-07-24 21:21:48.642 | INFO | trainer:189 | Epoch: 75 | Validation loss: 0.00055
2024-07-24 21:21:48.646 | INFO | trainer:173 | Epoch: 75 | Training loss: 0.000436
2024-07-24 21:21:49.008 | INFO | trainer:189 | Epoch: 76 | Validation loss: 0.00055
2024-07-24 21:21:49.012 | INFO | trainer:173 | Epoch: 76 | Training loss: 0.000435
2024-07-24 21:21:49.412 | INFO | trainer:189 | Epoch: 77 | Validation loss: 0.000551
2024-07-24 21:21:49.416 | INFO | trainer:173 | Epoch: 77 | Training loss: 0.000433
2024-07-24 21:21:49.776 | INFO | trainer:189 | Epoch: 78 | Validation loss: 0.000547
2024-07-24 21:21:49.780 | INFO | trainer:173 | Epoch: 78 | Training loss: 0.000434
2024-07-24 21:21:50.161 | INFO | trainer:189 | Epoch: 79 | Validation loss: 0.000549
2024-07-24 21:21:50.165 | INFO | trainer:173 | Epoch: 79 | Training loss: 0.000432
2024-07-24 21:21:50.521 | INFO | trainer:189 | Epoch: 80 | Validation loss: 0.000547
2024-07-24 21:21:50.525 | INFO | trainer:173 | Epoch: 80 | Training loss: 0.000431
2024-07-24 21:21:50.912 | INFO | trainer:189 | Epoch: 81 | Validation loss: 0.000544
2024-07-24 21:21:50.916 | INFO | trainer:173 | Epoch: 81 | Training loss: 0.000431
2024-07-24 21:21:51.301 | INFO | trainer:189 | Epoch: 82 | Validation loss: 0.000545
2024-07-24 21:21:51.305 | INFO | trainer:173 | Epoch: 82 | Training loss: 0.000429
2024-07-24 21:21:51.680 | INFO | trainer:189 | Epoch: 83 | Validation loss: 0.000544
2024-07-24 21:21:51.684 | INFO | trainer:173 | Epoch: 83 | Training loss: 0.000429
2024-07-24 21:21:52.056 | INFO | trainer:189 | Epoch: 84 | Validation loss: 0.000543
2024-07-24 21:21:52.060 | INFO | trainer:173 | Epoch: 84 | Training loss: 0.000428
2024-07-24 21:21:52.440 | INFO | trainer:189 | Epoch: 85 | Validation loss: 0.000542
2024-07-24 21:21:52.444 | INFO | trainer:173 | Epoch: 85 | Training loss: 0.000427
2024-07-24 21:21:52.812 | INFO | trainer:189 | Epoch: 86 | Validation loss: 0.00054
2024-07-24 21:21:52.816 | INFO | trainer:173 | Epoch: 86 | Training loss: 0.000426
2024-07-24 21:21:53.184 | INFO | trainer:189 | Epoch: 87 | Validation loss: 0.000543
2024-07-24 21:21:53.188 | INFO | trainer:173 | Epoch: 87 | Training loss: 0.000426
2024-07-24 21:21:53.569 | INFO | trainer:189 | Epoch: 88 | Validation loss: 0.000541
2024-07-24 21:21:53.573 | INFO | trainer:173 | Epoch: 88 | Training loss: 0.000425
2024-07-24 21:21:53.942 | INFO | trainer:189 | Epoch: 89 | Validation loss: 0.000541
2024-07-24 21:21:53.946 | INFO | trainer:173 | Epoch: 89 | Training loss: 0.000425
2024-07-24 21:21:54.292 | INFO | trainer:189 | Epoch: 90 | Validation loss: 0.000541
2024-07-24 21:21:54.296 | INFO | trainer:173 | Epoch: 90 | Training loss: 0.000423
2024-07-24 21:21:54.648 | INFO | trainer:189 | Epoch: 91 | Validation loss: 0.000537
2024-07-24 21:21:54.652 | INFO | trainer:173 | Epoch: 91 | Training loss: 0.000422
2024-07-24 21:21:55.033 | INFO | trainer:189 | Epoch: 92 | Validation loss: 0.000538
2024-07-24 21:21:55.037 | INFO | trainer:173 | Epoch: 92 | Training loss: 0.000422
2024-07-24 21:21:55.393 | INFO | trainer:189 | Epoch: 93 | Validation loss: 0.00054
2024-07-24 21:21:55.397 | INFO | trainer:173 | Epoch: 93 | Training loss: 0.000422
2024-07-24 21:21:55.771 | INFO | trainer:189 | Epoch: 94 | Validation loss: 0.000541
2024-07-24 21:21:55.775 | INFO | trainer:173 | Epoch: 94 | Training loss: 0.00042
2024-07-24 21:21:56.128 | INFO | trainer:189 | Epoch: 95 | Validation loss: 0.000537
2024-07-24 21:21:56.133 | INFO | trainer:173 | Epoch: 95 | Training loss: 0.00042
2024-07-24 21:21:56.525 | INFO | trainer:189 | Epoch: 96 | Validation loss: 0.000535
2024-07-24 21:21:56.529 | INFO | trainer:173 | Epoch: 96 | Training loss: 0.000421
2024-07-24 21:21:56.945 | INFO | trainer:189 | Epoch: 97 | Validation loss: 0.00054
2024-07-24 21:21:56.949 | INFO | trainer:173 | Epoch: 97 | Training loss: 0.000417
2024-07-24 21:21:57.345 | INFO | trainer:189 | Epoch: 98 | Validation loss: 0.000539
2024-07-24 21:21:57.349 | INFO | trainer:173 | Epoch: 98 | Training loss: 0.000417
2024-07-24 21:21:57.705 | INFO | trainer:189 | Epoch: 99 | Validation loss: 0.000536
2024-07-24 21:21:57.711 | INFO | trainer:173 | Epoch: 99 | Training loss: 0.000418
2024-07-24 21:21:58.088 | INFO | trainer:189 | Epoch: 100 | Validation loss: 0.000535
2024-07-24 21:21:58.093 | INFO | trainer:173 | Epoch: 100 | Training loss: 0.000416
2024-07-24 21:21:58.480 | INFO | trainer:189 | Epoch: 101 | Validation loss: 0.000535
2024-07-24 21:21:58.484 | INFO | trainer:173 | Epoch: 101 | Training loss: 0.000416
2024-07-24 21:21:58.845 | INFO | trainer:189 | Epoch: 102 | Validation loss: 0.000536
2024-07-24 21:21:58.850 | INFO | trainer:173 | Epoch: 102 | Training loss: 0.000416
2024-07-24 21:21:59.217 | INFO | trainer:189 | Epoch: 103 | Validation loss: 0.000532
2024-07-24 21:21:59.221 | INFO | trainer:173 | Epoch: 103 | Training loss: 0.000415
2024-07-24 21:21:59.597 | INFO | trainer:189 | Epoch: 104 | Validation loss: 0.000534
2024-07-24 21:21:59.601 | INFO | trainer:173 | Epoch: 104 | Training loss: 0.000415
2024-07-24 21:21:59.972 | INFO | trainer:189 | Epoch: 105 | Validation loss: 0.000533
2024-07-24 21:21:59.976 | INFO | trainer:173 | Epoch: 105 | Training loss: 0.000413
2024-07-24 21:22:00.336 | INFO | trainer:189 | Epoch: 106 | Validation loss: 0.000532
2024-07-24 21:22:00.340 | INFO | trainer:173 | Epoch: 106 | Training loss: 0.000412
2024-07-24 21:22:00.710 | INFO | trainer:189 | Epoch: 107 | Validation loss: 0.000531
2024-07-24 21:22:00.715 | INFO | trainer:173 | Epoch: 107 | Training loss: 0.000413
2024-07-24 21:22:01.094 | INFO | trainer:189 | Epoch: 108 | Validation loss: 0.000532
2024-07-24 21:22:01.098 | INFO | trainer:173 | Epoch: 108 | Training loss: 0.000413
2024-07-24 21:22:01.442 | INFO | trainer:189 | Epoch: 109 | Validation loss: 0.000532
2024-07-24 21:22:01.447 | INFO | trainer:173 | Epoch: 109 | Training loss: 0.000411
2024-07-24 21:22:01.810 | INFO | trainer:189 | Epoch: 110 | Validation loss: 0.000531
