2024-07-24 20:27:50.730 | INFO | train_model:114 | Creating dataloaders
2024-07-24 20:27:50.781 | INFO | train_model:135 | Splitting training data into a 80%-20% train/val split
2024-07-24 20:27:50.802 | INFO | train_model:245 | Starting training
2024-07-24 20:27:56.125 | INFO | trainer:191 | Epoch: 0 | Validation loss: 0.00103
2024-07-24 20:28:14.364 | INFO | trainer:191 | Epoch: 0 | Validation loss: 0.000888
2024-07-24 20:28:14.369 | INFO | trainer:175 | Epoch: 0 | Training loss: 0.000895
2024-07-24 20:28:15.174 | INFO | trainer:191 | Epoch: 1 | Validation loss: 0.000825
2024-07-24 20:28:15.178 | INFO | trainer:175 | Epoch: 1 | Training loss: 0.000795
2024-07-24 20:28:15.961 | INFO | trainer:191 | Epoch: 2 | Validation loss: 0.000786
2024-07-24 20:28:15.965 | INFO | trainer:175 | Epoch: 2 | Training loss: 0.000748
2024-07-24 20:28:16.745 | INFO | trainer:191 | Epoch: 3 | Validation loss: 0.000757
2024-07-24 20:28:16.749 | INFO | trainer:175 | Epoch: 3 | Training loss: 0.000716
2024-07-24 20:28:17.517 | INFO | trainer:191 | Epoch: 4 | Validation loss: 0.000736
2024-07-24 20:28:17.521 | INFO | trainer:175 | Epoch: 4 | Training loss: 0.000693
2024-07-24 20:28:18.296 | INFO | trainer:191 | Epoch: 5 | Validation loss: 0.000718
2024-07-24 20:28:18.300 | INFO | trainer:175 | Epoch: 5 | Training loss: 0.000674
2024-07-24 20:28:19.078 | INFO | trainer:191 | Epoch: 6 | Validation loss: 0.000704
2024-07-24 20:28:19.082 | INFO | trainer:175 | Epoch: 6 | Training loss: 0.000659
2024-07-24 20:28:19.883 | INFO | trainer:191 | Epoch: 7 | Validation loss: 0.000691
2024-07-24 20:28:19.887 | INFO | trainer:175 | Epoch: 7 | Training loss: 0.000645
2024-07-24 20:28:20.667 | INFO | trainer:191 | Epoch: 8 | Validation loss: 0.000679
2024-07-24 20:28:20.671 | INFO | trainer:175 | Epoch: 8 | Training loss: 0.000633
2024-07-24 20:28:21.457 | INFO | trainer:191 | Epoch: 9 | Validation loss: 0.000667
2024-07-24 20:28:21.461 | INFO | trainer:175 | Epoch: 9 | Training loss: 0.000622
2024-07-24 20:28:22.255 | INFO | trainer:191 | Epoch: 10 | Validation loss: 0.000657
2024-07-24 20:28:22.259 | INFO | trainer:175 | Epoch: 10 | Training loss: 0.000611
2024-07-24 20:28:23.056 | INFO | trainer:191 | Epoch: 11 | Validation loss: 0.000646
2024-07-24 20:28:23.060 | INFO | trainer:175 | Epoch: 11 | Training loss: 0.000601
2024-07-24 20:28:23.846 | INFO | trainer:191 | Epoch: 12 | Validation loss: 0.000636
2024-07-24 20:28:23.850 | INFO | trainer:175 | Epoch: 12 | Training loss: 0.000591
2024-07-24 20:28:24.639 | INFO | trainer:191 | Epoch: 13 | Validation loss: 0.000625
2024-07-24 20:28:24.643 | INFO | trainer:175 | Epoch: 13 | Training loss: 0.000581
2024-07-24 20:28:25.425 | INFO | trainer:191 | Epoch: 14 | Validation loss: 0.000616
2024-07-24 20:28:25.429 | INFO | trainer:175 | Epoch: 14 | Training loss: 0.000571
2024-07-24 20:28:26.206 | INFO | trainer:191 | Epoch: 15 | Validation loss: 0.000609
2024-07-24 20:28:26.210 | INFO | trainer:175 | Epoch: 15 | Training loss: 0.000563
2024-07-24 20:28:26.998 | INFO | trainer:191 | Epoch: 16 | Validation loss: 0.000599
2024-07-24 20:28:27.002 | INFO | trainer:175 | Epoch: 16 | Training loss: 0.000554
