2024-07-24 20:31:44.031 | INFO | train_model:114 | Creating dataloaders
2024-07-24 20:31:44.075 | INFO | train_model:135 | Splitting training data into a 80%-20% train/val split
2024-07-24 20:31:44.095 | INFO | train_model:245 | Starting training
2024-07-24 20:31:49.434 | INFO | trainer:191 | Epoch: 0 | Validation loss: 0.000975
2024-07-24 20:32:07.480 | INFO | trainer:191 | Epoch: 0 | Validation loss: 0.000835
2024-07-24 20:32:07.485 | INFO | trainer:175 | Epoch: 0 | Training loss: 0.000849
2024-07-24 20:32:08.293 | INFO | trainer:191 | Epoch: 1 | Validation loss: 0.000782
2024-07-24 20:32:08.297 | INFO | trainer:175 | Epoch: 1 | Training loss: 0.000752
2024-07-24 20:32:09.099 | INFO | trainer:191 | Epoch: 2 | Validation loss: 0.00075
2024-07-24 20:32:09.103 | INFO | trainer:175 | Epoch: 2 | Training loss: 0.000712
2024-07-24 20:32:09.913 | INFO | trainer:191 | Epoch: 3 | Validation loss: 0.000727
2024-07-24 20:32:09.917 | INFO | trainer:175 | Epoch: 3 | Training loss: 0.000686
2024-07-24 20:32:10.718 | INFO | trainer:191 | Epoch: 4 | Validation loss: 0.000709
2024-07-24 20:32:10.722 | INFO | trainer:175 | Epoch: 4 | Training loss: 0.000666
2024-07-24 20:32:11.514 | INFO | trainer:191 | Epoch: 5 | Validation loss: 0.000693
2024-07-24 20:32:11.518 | INFO | trainer:175 | Epoch: 5 | Training loss: 0.00065
2024-07-24 20:32:12.318 | INFO | trainer:191 | Epoch: 6 | Validation loss: 0.000679
2024-07-24 20:32:12.322 | INFO | trainer:175 | Epoch: 6 | Training loss: 0.000635
2024-07-24 20:32:13.139 | INFO | trainer:191 | Epoch: 7 | Validation loss: 0.000666
2024-07-24 20:32:13.143 | INFO | trainer:175 | Epoch: 7 | Training loss: 0.000622
2024-07-24 20:32:13.934 | INFO | trainer:191 | Epoch: 8 | Validation loss: 0.000654
2024-07-24 20:32:13.938 | INFO | trainer:175 | Epoch: 8 | Training loss: 0.00061
2024-07-24 20:32:14.740 | INFO | trainer:191 | Epoch: 9 | Validation loss: 0.000642
2024-07-24 20:32:14.745 | INFO | trainer:175 | Epoch: 9 | Training loss: 0.000598
2024-07-24 20:32:15.537 | INFO | trainer:191 | Epoch: 10 | Validation loss: 0.000632
2024-07-24 20:32:15.541 | INFO | trainer:175 | Epoch: 10 | Training loss: 0.000587
2024-07-24 20:32:16.373 | INFO | trainer:191 | Epoch: 11 | Validation loss: 0.000621
2024-07-24 20:32:16.377 | INFO | trainer:175 | Epoch: 11 | Training loss: 0.000576
2024-07-24 20:32:17.167 | INFO | trainer:191 | Epoch: 12 | Validation loss: 0.000611
2024-07-24 20:32:17.171 | INFO | trainer:175 | Epoch: 12 | Training loss: 0.000566
2024-07-24 20:32:17.969 | INFO | trainer:191 | Epoch: 13 | Validation loss: 0.000602
2024-07-24 20:32:17.973 | INFO | trainer:175 | Epoch: 13 | Training loss: 0.000557
2024-07-24 20:32:18.763 | INFO | trainer:191 | Epoch: 14 | Validation loss: 0.000594
2024-07-24 20:32:18.767 | INFO | trainer:175 | Epoch: 14 | Training loss: 0.000547
2024-07-24 20:32:19.557 | INFO | trainer:191 | Epoch: 15 | Validation loss: 0.000584
2024-07-24 20:32:19.561 | INFO | trainer:175 | Epoch: 15 | Training loss: 0.000539
2024-07-24 20:32:20.343 | INFO | trainer:191 | Epoch: 16 | Validation loss: 0.000576
2024-07-24 20:32:20.347 | INFO | trainer:175 | Epoch: 16 | Training loss: 0.00053
2024-07-24 20:32:21.124 | INFO | trainer:191 | Epoch: 17 | Validation loss: 0.000571
2024-07-24 20:32:21.129 | INFO | trainer:175 | Epoch: 17 | Training loss: 0.000522
2024-07-24 20:32:21.918 | INFO | trainer:191 | Epoch: 18 | Validation loss: 0.000563
2024-07-24 20:32:21.922 | INFO | trainer:175 | Epoch: 18 | Training loss: 0.000515
2024-07-24 20:32:22.720 | INFO | trainer:191 | Epoch: 19 | Validation loss: 0.000555
2024-07-24 20:32:22.724 | INFO | trainer:175 | Epoch: 19 | Training loss: 0.000509
2024-07-24 20:32:23.517 | INFO | trainer:191 | Epoch: 20 | Validation loss: 0.00055
2024-07-24 20:32:23.521 | INFO | trainer:175 | Epoch: 20 | Training loss: 0.000502
2024-07-24 20:32:24.307 | INFO | trainer:191 | Epoch: 21 | Validation loss: 0.000544
2024-07-24 20:32:24.311 | INFO | trainer:175 | Epoch: 21 | Training loss: 0.000497
2024-07-24 20:32:25.117 | INFO | trainer:191 | Epoch: 22 | Validation loss: 0.000539
2024-07-24 20:32:25.121 | INFO | trainer:175 | Epoch: 22 | Training loss: 0.000492
2024-07-24 20:32:25.910 | INFO | trainer:191 | Epoch: 23 | Validation loss: 0.000535
2024-07-24 20:32:25.914 | INFO | trainer:175 | Epoch: 23 | Training loss: 0.000487
2024-07-24 20:32:26.700 | INFO | trainer:191 | Epoch: 24 | Validation loss: 0.00053
