2024-07-24 21:16:21.592 | INFO | train_model:116 | Creating dataloaders
2024-07-24 21:16:21.614 | INFO | train_model:141 | Splitting training data into a 80%-20% train/val split
2024-07-24 21:16:21.632 | INFO | train_model:253 | Starting training
2024-07-24 21:16:30.730 | INFO | trainer:189 | Epoch: 0 | Validation loss: 0.00103
2024-07-24 21:16:55.788 | INFO | trainer:189 | Epoch: 0 | Validation loss: 0.00106
2024-07-24 21:16:55.795 | INFO | trainer:173 | Epoch: 0 | Training loss: 0.000936
2024-07-24 21:16:56.218 | INFO | trainer:189 | Epoch: 1 | Validation loss: 0.000982
2024-07-24 21:16:56.222 | INFO | trainer:173 | Epoch: 1 | Training loss: 0.000826
2024-07-24 21:16:56.584 | INFO | trainer:189 | Epoch: 2 | Validation loss: 0.000938
2024-07-24 21:16:56.588 | INFO | trainer:173 | Epoch: 2 | Training loss: 0.000776
2024-07-24 21:16:56.969 | INFO | trainer:189 | Epoch: 3 | Validation loss: 0.000907
2024-07-24 21:16:56.973 | INFO | trainer:173 | Epoch: 3 | Training loss: 0.000744
2024-07-24 21:16:57.364 | INFO | trainer:189 | Epoch: 4 | Validation loss: 0.000883
2024-07-24 21:16:57.368 | INFO | trainer:173 | Epoch: 4 | Training loss: 0.000721
2024-07-24 21:16:57.742 | INFO | trainer:189 | Epoch: 5 | Validation loss: 0.000863
2024-07-24 21:16:57.746 | INFO | trainer:173 | Epoch: 5 | Training loss: 0.000703
2024-07-24 21:16:58.134 | INFO | trainer:189 | Epoch: 6 | Validation loss: 0.000847
2024-07-24 21:16:58.138 | INFO | trainer:173 | Epoch: 6 | Training loss: 0.000688
2024-07-24 21:16:58.503 | INFO | trainer:189 | Epoch: 7 | Validation loss: 0.000833
2024-07-24 21:16:58.507 | INFO | trainer:173 | Epoch: 7 | Training loss: 0.000675
2024-07-24 21:16:58.873 | INFO | trainer:189 | Epoch: 8 | Validation loss: 0.000821
2024-07-24 21:16:58.877 | INFO | trainer:173 | Epoch: 8 | Training loss: 0.000664
