best_val_loss,epoch,step,train_loss,val_loss
0.0035231795627623796,0,163,,0.0035231795627623796
,0,163,0.004012246150523424,
0.0032942993566393852,1,327,,0.0032942993566393852
,1,327,0.0035066003911197186,
0.003213600255548954,2,491,,0.003213600255548954
,2,491,0.0033809589222073555,
0.003213600255548954,3,655,,0.0032282713800668716
,3,655,0.003331673564389348,
0.0031409799121320248,4,819,,0.0031409799121320248
,4,819,0.0032538750674575567,
0.0031409799121320248,5,983,,0.0031610934529453516
,5,983,0.0032346185762435198,
0.0031409799121320248,6,1147,,0.0033769584260880947
,6,1147,0.003235049080103636,
0.0031169154681265354,7,1311,,0.0031169154681265354
,7,1311,0.003159804968163371,
0.0030560572631657124,8,1475,,0.0030560572631657124
,8,1475,0.003115571802482009,
0.0030560572631657124,9,1639,,0.0031004257034510374
,9,1639,0.0031081626657396555,
0.003019350115209818,10,1803,,0.003019350115209818
,10,1803,0.003103949362412095,
0.003019350115209818,11,1967,,0.0030437149107456207
,11,1967,0.0030643902719020844,
0.003019350115209818,12,2131,,0.0031735084485262632
,12,2131,0.003072320017963648,
0.003019350115209818,13,2295,,0.0030433398205786943
,13,2295,0.0030217685271054506,
0.002991162473335862,14,2459,,0.002991162473335862
,14,2459,0.003031775588169694,
0.002991162473335862,15,2623,,0.003036401467397809
,15,2623,0.003036166774109006,
0.002991162473335862,16,2787,,0.003029846353456378
,16,2787,0.0029717646539211273,
0.002981661120429635,17,2951,,0.002981661120429635
,17,2951,0.0029691229574382305,
0.002981661120429635,18,3115,,0.0030366533901542425
,18,3115,0.0029732987750321627,
0.002981661120429635,19,3279,,0.0030325192492455244
,19,3279,0.0029659292194992304,
0.002981661120429635,20,3443,,0.002996457042172551
,20,3443,0.0029570201877504587,
0.002953112591058016,21,3607,,0.002953112591058016
,21,3607,0.0029275694396346807,
0.0029286183416843414,22,3771,,0.0029286183416843414
,22,3771,0.0029465488623827696,
0.0029061087407171726,23,3935,,0.0029061087407171726
,23,3935,0.0029046651907265186,
0.0029061087407171726,24,4099,,0.0029541722033172846
,24,4099,0.00291429297067225,
0.0029061087407171726,25,4263,,0.0029822944197803736
,25,4263,0.0028783371672034264,
0.0029061087407171726,26,4427,,0.0029173819348216057
,26,4427,0.0028994258027523756,
0.0029061087407171726,27,4591,,0.002967922016978264
,27,4591,0.0028661293908953667,
0.0029061087407171726,28,4755,,0.002913955133408308
,28,4755,0.0028592401649802923,
0.0029061087407171726,29,4919,,0.0029321119654923677
,29,4919,0.0028486347291618586,
0.0029061087407171726,30,5083,,0.0029151588678359985
,30,5083,0.002832965226843953,
0.0029061087407171726,31,5247,,0.0030261205974966288
,31,5247,0.002851655473932624,
0.0029061087407171726,32,5411,,0.0030186730436980724
,32,5411,0.002855404745787382,
0.0029061087407171726,33,5575,,0.002926628105342388
,33,5575,0.0027952364180237055,
0.0029061087407171726,34,5739,,0.002962453756481409
,34,5739,0.0028345859609544277,
0.0029061087407171726,35,5903,,0.0029665534384548664
,35,5903,0.002812921768054366,
0.0029061087407171726,36,6067,,0.0029562818817794323
,36,6067,0.00280373333953321,
0.0029061087407171726,37,6231,,0.0030289681162685156
,37,6231,0.002820064313709736,
0.00288626947440207,38,6395,,0.00288626947440207
,38,6395,0.0027879769913852215,
0.00288626947440207,39,6559,,0.002956900279968977
,39,6559,0.0027342336252331734,
0.00288626947440207,40,6723,,0.0029269452206790447
,40,6723,0.002759876661002636,
0.00288626947440207,41,6887,,0.0031750642228871584
,41,6887,0.0027763894759118557,
0.00288626947440207,42,7051,,0.0029193093068897724
,42,7051,0.0027405451983213425,
0.00288626947440207,43,7215,,0.003011066932231188
,43,7215,0.002734894398599863,
0.00288626947440207,44,7379,,0.0029046148993074894
,44,7379,0.00276666390709579,
0.0028708449099212885,45,7543,,0.0028708449099212885
,45,7543,0.002730279229581356,
0.0028708449099212885,46,7707,,0.0029511183965951204
,46,7707,0.0027147550135850906,
0.0028708449099212885,47,7871,,0.002890080213546753
,47,7871,0.0027220093179494143,
0.0028708449099212885,48,8035,,0.002962601138278842
,48,8035,0.0027059530839323997,
0.0028708449099212885,49,8199,,0.002918027574196458
,49,8199,0.002698327414691448,
0.0028708449099212885,50,8363,,0.0029013510793447495
,50,8363,0.0027073663659393787,
0.0028708449099212885,51,8527,,0.0029200527351349592
,51,8527,0.0027032499201595783,
0.0028708449099212885,52,8691,,0.0029759909957647324
,52,8691,0.002683734055608511,
0.0028449492529034615,53,8855,,0.0028449492529034615
,53,8855,0.0026841191574931145,
0.0028449492529034615,54,9019,,0.002889411523938179
,54,9019,0.0026892153546214104,
0.0028449492529034615,55,9183,,0.002934660529717803
,55,9183,0.00265795411542058,
0.0028449492529034615,56,9347,,0.002916878554970026
,56,9347,0.002690182998776436,
0.0028449492529034615,57,9511,,0.0030271941795945168
,57,9511,0.002653212519362569,
0.0028449492529034615,58,9675,,0.0029761723708361387
,58,9675,0.0026738974265754223,
0.0028449492529034615,59,9839,,0.0028729871846735477
,59,9839,0.002641645958647132,
0.0028449492529034615,60,10003,,0.002885751659050584
,60,10003,0.0026231901720166206,
0.0028449492529034615,61,10167,,0.0029201172292232513
,61,10167,0.0026239908766001463,
0.0028449492529034615,62,10331,,0.0029422605875879526
,62,10331,0.00264178030192852,
0.0028449492529034615,63,10495,,0.0028629505541175604
,63,10495,0.002622540108859539,
0.0028449492529034615,64,10659,,0.0029280665330588818
,64,10659,0.002640134422108531,
0.0028449492529034615,65,10823,,0.0029243750032037497
,65,10823,0.0026049045845866203,
0.0028449492529034615,66,10987,,0.0029646598268300295
,66,10987,0.0026089034508913755,
0.0028449492529034615,67,11151,,0.002885811496526003
,67,11151,0.0026357537135481834,
0.0028449492529034615,68,11315,,0.002909828443080187
,68,11315,0.0026417013723403215,
0.0028449492529034615,69,11479,,0.002863790839910507
,69,11479,0.00261379755102098,
0.0028449492529034615,70,11643,,0.002938810270279646
,70,11643,0.002616377081722021,
0.0028449492529034615,71,11807,,0.002950566355139017
,71,11807,0.002592833712697029,
0.0028449492529034615,72,11971,,0.0029024009127169847
,72,11971,0.0026120897382497787,
0.0028449492529034615,73,12135,,0.002940686186775565
,73,12135,0.0025967606343328953,
0.0028449492529034615,74,12299,,0.0029956253711134195
,74,12299,0.0025864066556096077,
0.0028449492529034615,75,12463,,0.002996742958202958
,75,12463,0.0025691541377454996,
0.0028449492529034615,76,12627,,0.0029766748193651438
,76,12627,0.0025816457346081734,
0.0028449492529034615,77,12791,,0.002877173013985157
,77,12791,0.0025757092516869307,
0.0028449492529034615,78,12955,,0.0029442026279866695
,78,12955,0.002568125957623124,
0.0028449492529034615,79,13119,,0.002903345040977001
,79,13119,0.0025732917711138725,
0.0028449492529034615,80,13283,,0.0028903356287628412
,80,13283,0.002556118182837963,
0.0028449492529034615,81,13447,,0.003158257808536291
,81,13447,0.0025447497610002756,
0.0028449492529034615,82,13611,,0.003004164434969425
,82,13611,0.0025751814246177673,
0.0028449492529034615,83,13775,,0.0029561419505625963
,83,13775,0.0025379625149071217,
